dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.304093,5.814616,0.317118,0.543163,0.478909,-0.498863,0.011053
0.020000,13.315050,5.814735,0.328075,0.552541,0.468932,-0.498863,0.010619
0.020000,13.326192,5.814851,0.339217,0.561720,0.458954,-0.498863,0.010182
0.020000,13.337515,5.814963,0.350541,0.570700,0.448977,-0.498863,0.009743
0.020000,13.349017,5.815073,0.362043,0.579480,0.439000,-0.498863,0.009302
0.020000,13.360691,5.815179,0.373719,0.588060,0.429023,-0.498863,0.008861
0.020000,13.372536,5.815281,0.385564,0.596441,0.419045,-0.498863,0.008418
0.020000,13.384546,5.815380,0.397574,0.604623,0.409068,-0.498863,0.007976
0.020000,13.396718,5.815474,0.409747,0.612604,0.399091,-0.498863,0.007533
0.020000,13.409048,5.815564,0.422076,0.620387,0.389114,-0.498863,0.007090
0.020000,13.421531,5.815650,0.434560,0.627969,0.379136,-0.498863,0.006649
0.020000,13.434164,5.815731,0.447193,0.635353,0.369159,-0.498863,0.006208
0.020000,13.446943,5.815808,0.459972,0.642536,0.359182,-0.498863,0.005769
0.020000,13.459863,5.815879,0.472893,0.649520,0.349204,-0.498863,0.005332
0.020000,13.472921,5.815946,0.485951,0.656305,0.339227,-0.498863,0.004897
0.020000,13.486113,5.816008,0.499143,0.662890,0.329250,-0.498863,0.004465
0.020000,13.499434,5.816065,0.512464,0.669275,0.319273,-0.498863,0.004035
0.020000,13.512882,5.816116,0.525912,0.675461,0.309295,-0.498863,0.003609
0.020000,13.526451,5.816162,0.539481,0.681448,0.299318,-0.498863,0.003187
0.020000,13.540137,5.816203,0.553168,0.687234,0.289341,-0.498863,0.002768
0.020000,13.553938,5.816238,0.566968,0.692822,0.279364,-0.498863,0.002354
0.020000,13.567848,5.816268,0.580879,0.698209,0.269386,-0.498863,0.001944
0.020000,13.581864,5.816292,0.594895,0.703398,0.259409,-0.498863,0.001539
0.020000,13.595982,5.816311,0.609013,0.708386,0.249432,-0.498863,0.001139
0.020000,13.610198,5.816325,0.623228,0.713175,0.239454,-0.498863,0.000744
0.020000,13.624507,5.816332,0.637538,0.717765,0.229477,-0.498863,0.000355
0.020000,13.638906,5.816335,0.651937,0.722155,0.219500,-0.498863,6.283158
0.020000,13.653391,5.816332,0.666422,0.726345,0.209523,-0.498863,6.282781
0.020000,13.667958,5.816323,0.680989,0.730336,0.199545,-0.498863,6.282411
0.020000,13.682603,5.816309,0.695633,0.734127,0.189568,-0.498863,6.282047
0.020000,13.697321,5.816290,0.710352,0.737719,0.179591,-0.498863,6.281691
0.020000,13.712110,5.816265,0.725140,0.741112,0.169614,-0.498863,6.281341
0.020000,13.726964,5.816235,0.739994,0.744304,0.159636,-0.498863,6.280999
0.020000,13.741880,5.816200,0.754910,0.747297,0.149659,-0.498863,6.280665
0.020000,13.756853,5.816160,0.769884,0.750091,0.139682,-0.498863,6.280338
0.020000,13.771881,5.816115,0.784912,0.752685,0.129705,-0.498863,6.280019
0.020000,13.786959,5.816064,0.799989,0.755080,0.119727,-0.498863,6.279709
0.020000,13.802082,5.816010,0.815113,0.757275,0.109750,-0.498863,6.279406
0.020000,13.817247,5.815950,0.830278,0.759270,0.099773,-0.498863,6.279113
0.020000,13.832451,5.815886,0.845482,0.761066,0.089795,-0.498863,6.278828
0.020000,13.847688,5.815817,0.860719,0.762662,0.079818,-0.498863,6.278551
0.020000,13.862955,5.815745,0.875986,0.764059,0.069841,-0.498863,6.278284
0.020000,13.878248,5.815668,0.891279,0.765257,0.059864,-0.498863,6.278026
0.020000,13.893563,5.815587,0.906595,0.766254,0.049886,-0.498863,6.277776
0.020000,13.908896,5.815502,0.921928,0.767052,0.039909,-0.498863,6.277536
0.020000,13.924242,5.815413,0.937275,0.767651,0.029932,-0.498863,6.277306
0.020000,13.939599,5.815321,0.952632,0.768050,0.019955,-0.498863,6.277085
